Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP GET Request,1000,3971,3729,8053,8280,8313,115,8320,0.900%,111.37098,6809.78,16.71
TOTAL,1000,3971,3729,8053,8280,8313,115,8320,0.900%,111.37098,6809.78,16.71
